id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
231,DROGARIA BOM RETIRO LTDA.,"RUA SENADOR PINHEIRO MACHADO, 474 - CASA",BOM RETIRO DO SUL,RS
232,FARMÁCIA DEODORO LTDA.,RUA MARECHAL DEODORO  Nº 801,PELOTAS,RS
233,DISTRIBUIDORA BIG BENN S.A,CONJUNTO ITARARE II 10 qd 183,TERESINA,PI
234,SILVEIRA & SILVEIRA LTDA ME,"AVENIDA SAO SEBASTIAO, 1047",BOA VISTA,RR
235,FARMACIA FLARING LTDA,"Av ANTONIO CUNHA, 313 - TERREO",JAGUARIAIVA,PR
236,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA VAZ DE FERREIRA, 1118, LOJA 01",TUPANCIRETA,RS
237,LATSCH E BOCHI LTDA,"RUA DOMINGOS DE ALMEIDA, 1914",URUGUAIANA,RS
238,DROGARIA MAIS ECONOMICA S.A.,RUA MARQUES DO HERVAL 1601,SANTO ANGELO,RS
239,BERILLO CAPRARO & CIA LTDA - ME,"RUA XV DE NOVEMBRO, 478 - CENTRP",PALMEIRA,PR
240,COMERCIO DE PRODUTOS FARMACEUTICOS LAGOA LTDA - ME,"AV OTTO RADTKE, 1165",LAGOA DOS TRES CANTOS,RS
241,KRYNSKI & NUNES LTDA - ME,"RUA 25 DE JULHO, 480",SAPUCAIA DO SUL,RS
242,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA MOREIRA CESAR, 2086 - LOJA 01",CAXIAS DO SUL,RS
243,LAERCIO MARCHI DA SILVA MEDICAMENTOS ME,"AV RIO BRANCO, SN, CENTRO",RIO BRANCO DO IVAI,PR
244,ELVIO RUGOLO & CIA LTDA - EPP,"RUA ORDELE, Nº 169",LARANJAL PAULISTA,SP
245,"LIMA,ELIAS & CIA LTDA","AV RIO DE JANEIRO, 378, CASA",DIAMANTE DOESTE,PR
246,FARMACIA LUCAS LTDA ME,"XV DE NOVEMBRO, Nº 248",PONTE SERRADA,SC
247,FARMACIA VALE VERDE LTDA,"AV MARINGA, 515",LONDRINA,PR
248,ACEMAX COM VAREJ DE PROD QUIM E FARMACEUTICOS LTDA ME,"AV BRASIL, 713",SANTO ANTONIO DO SUDOESTE,PR
249,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA JOSE ANTUNES MATTOS, 129, SALA A",ORLEANS,SC
250,CASOFARMA LTDA,AVENIDA BRASIL Nº 1470,IVAIPORA,PR
251,DROGANUNES LTDA,"AVENIDA XV DE NOVEMBRO, 71",CORNELIO PROCOPIO,PR
252,DISTRIBUIDORA BIG BENN LTDA,"AV GOVMAGALHAES BARATA, 1063",BELEM,PA
253,FARMACIA FARMAGOSS LTDA EPP,RUA MARECHAL DEODORO 769,CONCORDIA,SC
254,DROGARIA BOM RETIRO LTDA.,"RUA CEL. MUSSNICH, 612",ESTRELA,RS
255,CIA LATINO AMERICANA DE MEDICAMENTOS,"PRAÇA BARAO DE SCHNEEBURG, 68 - CENTRO",BRUSQUE,SC
256,FARMACIA E DROGARIA NISSEI LTDA,"RUA FRANCISCO BUSATO, 7912",COLOMBO,PR
257,FARM STA TEREZINHA LTDA,AV PRESIDENTE VARGAS 100 - SALA,URUSSANGA,SC
258,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA MARECHAL CASTELO BRANCO, 413",SAO LUIS,MA
259,DISTRIBUIDORA BIG BENN LTDA,"RUA 16 DE NOVEMBRO, 711, LOJA 206",BELEM,PA
260,FARMÁCIAS DA FÉ LTDA,RUA PRESIDENTE LUCENO Nº3625,ESTANCIA VELHA,RS
261,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA TERESOPOLIS, Nº 3217",PORTO ALEGRE,RS
262,FARMACIA SAO COSME DAMIAO LTDA,"ESTRADA DAS BARREIRAS, 718 - TERREO",SALVADOR,BA
263,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA SETE DE SETEMBRO, 585, SALA 02",BRUSQUE,SC
264,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA OSVALDO ARANHA, 935",VENANCIO AIRES,RS
265,FARMACIA ITAIPU LTDA-ME,"AV SILVIO AMERICO SASDELLI, 2535, SALA 02",FOZ DO IGUACU,PR
266,TRAJANO & CIA LTDA,RUA DR. MUNHOZ DA ROCHA Nº 447,IRATI,PR
267,SANTOS & PROETTE LTDA - ME,"AV PIRACICAMIRIM, 2602",PIRACICABA,SP
268,S. FERREIRA MEDICAMENTOS LTDA - ME,"Rua PAPA JOAO X X I I I, 46",MARIALVA,PR
269,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA DOUTOR NAPOLEAO LAUREANO, 517",RIO GRANDE,RS
270,DROGARIA MACIEL LTDA - ME,"RUA IRIRIU, 2224",JOINVILLE,SC
271,DROGARIA PARAIZO BANSHO LTDA - ME,"AVENIDA DESEMBARGADOR HUGO SIMAS, 1781",CURITIBA,PR
272,CIA LATINO AMERICANA DE MEDICAMENTOS,"CEL PEDRO BENEDET, Nº 363, ED SAN VICENTE",CRICIUMA,SC
273,DROGARIA PERO LTDA ME,"AVENIDA DEPUTADO RENATO AZEVEDO, Nº 190, LOJA: 02",TRES CORACOES,MG
274,DROGARIA MAIS ECONOMICA LTDA,"RUA GENERAL FLORES DA CUNHA, 1098",CACHOEIRINHA,RS
275,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"CORONEL CORDOVA, 212",LAGES,SC
276,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA SAO JOSE, 546",GUAIBA,RS
277,FARMACIA CENTRAL DE IBIPORÃ LTDA,AVENIDA PARANA Nº 159,IBIPORA,PR
278,JM. MAZZUTTI & CIA LTDA - EPP,"AVENIDA FLORES DA CUNHA, 455 - LOJA 01",CARAZINHO,RS
279,LUCIANE PAULA STEILEIN GALLOTTI,"RUA GETULIO VARGAS, Nº 726",CANOINHAS,SC
280,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA SAPUCAIA, 720, LOJA 05",SAPUCAIA DO SUL,RS
281,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA ANITA GARIBALDI Nº2099,PORTO ALEGRE,RS
282,DROGARIA BELA VISTA LTDA ME,"BORTOLO ZANNI, 967",CAXIAS DO SUL,RS
283,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA DOUTOR JOAO CARLOS MACHADO, 981",ARROIO DO MEIO,RS
284,VALES & MARTINS LTDA ME,"AV PRES CASTELO BRANCO, 431",TERRA ROXA,PR
285,ELY TEIXEIRA ROCHA BARRETO E CIA LTDA ME,"RUA DR JOAO MARTINS, 10 - TERREO",LAJE,BA
286,TRAJANO & CIA LTDA,"AVENIDA MANOEL RIBAS, Nº 1614 - LJ-03 e 04",GUARAPUAVA,PR
287,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,av SANTOS FERREIRA 1400,CANOAS,RS
288,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA MARECHAL JOSE B. BORMANN, 120E",CHAPECO,SC
289,FARMACIA E DROGARIA NISSEI LTDA,RUA HENRIQUE VERAS DO NASCIMENTO 152,FLORIANOPOLIS,SC
290,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA INTEGRACAO, 372, LOJA 01",ENTRE-IJUIS,RS
291,DISTRIBUIDORA BIG BENN LTDA,"D. ROMUALDO COELHO, QUADRA 375, S/N, LOTES 14 E 15",BELEM,PA
292,FARMACIA SUZANA LTDA,"TERESOPOLIS, 3169",PORTO ALEGRE,RS
293,MARIA NELCI GASTALDO ME,"RUA JULIO DE CASTILHOS, Nº 2265 SALA F",JAGUARI,RS
294,RAIZES -FARMACIA DERMATOLOGICA E COSMETICA LTDA-ME,SAO JOSE 345 SALA 4,GUAIBA,RS
295,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA LUIZ LOREA Nº 502,RIO GRANDE,RS
296,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA MIGUEL SOCCOL, 2721 - LOJA 01",SERAFINA CORREA,RS
297,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA WINSTON CHURCHILL, 2685",CURITIBA,PR
298,CVS ROSA,RUA XV DE NOVEMBRO 607,CACAPAVA DO SUL,RS
299,ANTONIO SALMORIA ME,"26 DE ABRIL, Nº 954",ABDON BATISTA,SC
300,NOVAMIL COMERCIO DE MEDICAMENTOS LTDA ME,"R. JOAO ANGELO CORDEIRO, 500, LOJA 02",SAO JOSE DOS PINHAIS,PR
301,FARMACIA ESTRELA DE BARBOSA FERRAZ LTDA ME,"MARECHAL DEODORO, Nº 647",BARBOSA FERRAZ,PR
302,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA OSVALDO ARANHA 909 LOJA TERREA,BENTO GONCALVES,RS
303,DISTRIBUIDORA BIG BENN S.A,"COMERCIAL TANCREDO NEVES, 1283",SAO MIGUEL DO GUAMA,PA
304,LUCELIA CANTERI & CIA LTDA ME,"RUA XV DE NOVEMBRO, Nº 1192",TIJUCAS DO SUL,PR
305,JUNQUEIRA & PEREIRA LTDA - ME,"AVENIDA JOAO CARRARO, 292, TERREO",PORTO RICO,PR
306,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"avenida BANDEIRANTES, 1399",MOGI GUACU,SP
307,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV ADOLFO FETTER, 3300",PELOTAS,RS
308,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA DOUTOR PEDRO ZIMMERMANN, 7780, SALA 01",BLUMENAU,SC
309,FARMACIA ANAHY LTDA ME,AV. BRASIL,ANAHY,PR
310,DROGARIA MAIS ECONOMICA LTDA,"RUA BORGES DE MEDEIROS, 1420",FLORES DA CUNHA,RS
311,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA JOSE DE ALENCAR   399,PORTO ALEGRE,RS
312,DROGARIA MAIS ECONOMICA LTDA,AV JOSE LOUREIRO DA SILVA Nº1600,GRAVATAI,RS
313,PORTELA & ANSOLIN LTDA - EPP,"AVENIDA PORCELANA, 146",CAMPO LARGO,PR
314,DROGARIA GUAJUVIRA LTDA,"ANTONIO GOMES CORREA, Nº 200",GRAVATAI,RS
315,DISTRIBUIDORA BIG BENN LTDA,"RUA DES IGNACIO GUILHON, 127",BELEM,PA
316,PONTES KUSSUMOTO COMERCIO DE MEDICAMENTOS LTDA - ME,"R. IZAAC FERREIRA DA CRUZ, Nº 4.606",CURITIBA,PR
317,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,rua JOAO NEGRAO 1561,CURITIBA,PR
318,ASSOCIACAO DR BARTHOLOMEU TACCHINI,"RUA 24 DE MAIO, 670, sala 1",VERANOPOLIS,RS
319,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"RUA 15 DE NOVEMBRO, Nº 386",IJUI,RS
320,DAMOFARMA COMERCIO DE MEDICAMENTOS LTDA ME,"RUA HORTENCIA, Nº 222",CORBELIA,PR
321,DROGARIA GUAJUVIRA LTDA,"RUA XV DE JANEIRO, 239 - SALA 111",CANOAS,RS
322,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA PARANÁ,. Nº 340",LONDRINA,PR
323,FARMACIA CRUZ AZUL LTDA,"AVENIDA DR POLIDORO SANTIAGO, 239",COCAL DO SUL,SC
324,MARCIO FERREIRA - ME,"AV COCAL, 710",CRICIUMA,SC
325,FARMACIA INHACOR M.V.C. COMERCIAL DE MEDICAMENTOS LTDA,"AVENIDA AMERICA, Nº 323",SANTA ROSA,RS
326,DROGARIA AMERICA LTDA ME,"RUA SAO PEDRO, 1091 - E",CHAPECO,SC
327,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV. BARAO DO RIO BRANCO, 14, SALA 01",RIO DO SUL,SC
328,OLAVO SILON LUMERTZ HENDLER-ME,"RUA JOSÉ PORFIRIO DE MELO, Nº 229",SANTA ROSA DO SUL,SC
329,NATAL GARBULHA ME,"RUA RIO DE JANEIRO, 847",LUPIONOPOLIS,PR
330,CIRINEU JOSE DE MELO & CIA LTDA - EPP,"R PRESIDENTE JUSCELINO, 52",ITUPORANGA,SC
331,FUNAYAMA E CIA LTDA,"AV. RIO DE JANEIRO, 23",TUNEIRAS DO OESTE,PR
332,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PINHEIRO MACHADO, 2704 - SALA 04",CAXIAS DO SUL,RS
333,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA MARECHAL FLORIANO, 1550",SANTO ANGELO,RS
334,FARMACIA XAXIM LTDA ME,"PLINIO ARLINDO DE NES, 931, SALA",XAXIM,SC
335,FARMACIA COLOMBO LTDA ME,"RUA 7 DE SETEMBRO, 650, SALA A",DIONISIO CERQUEIRA,SC
336,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA FREDERICO MENTZ Nº 1561,PORTO ALEGRE,RS
337,DROGA RIO DE PRESIDENTE EPITACIO LTDA - EPP,"AVENIDA PRESIDENTE VARGAS, 1936",PRESIDENTE EPITACIO,SP
338,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"RUA MORON, Nº 1513",PASSO FUNDO,RS
339,DIANGEL DROGARIA LTDA ME,"RUA ITALIA, 727",ERECHIM,RS
340,DROGARIA MAIS ECONOMICA S.A.,rua WENCESLAU ESCOBAR 2759,PORTO ALEGRE,RS
341,DISTRIBUIDORA BIG BENN LTDA,"AV RODOLFO CHERMONT, 847",BELEM,PA
342,DROGARIA LYDIA F. DE ATHAYDE LTDA - EPP,"RUA GERALDO PEREIRA, 342",ESTRELA,RS
343,M. C. T. CABRERA & CIA. LTDA. ME.,"AVENIDA CAMPOS SALLES, 38 - SALA",SABAUDIA,PR
344,PATRACON & PATRACON LTDA - ME,"Rua ANTONIO CASATI, 45A",DESCALVADO,SP
345,FARMÁCIAS E DROGARIAS NISSEI LTDA,RUA 29 DE ABRIL Nº193,GUARATUBA,PR
346,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA RIO BRANCO, Nº 844",DOM PEDRITO,RS
347,CARVAMAY COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA - ME,"RUA BRIGADEIRO FRANCO, 621",CURITIBA,PR
348,DROGARIA MAIS ECONOMICA LTDA,"RUA SANTOS FERREIRA, 1875",CANOAS,RS
349,FARMACIA LIDERFARMA LTDA,"RUA MINAS GERAIS, Nº 559",COLORADO,PR
350,FARME BRITO LTDA - EPP,"AVENIDA EDUARDO FROES DA MOTA, 41",FEIRA DE SANTANA,BA
351,DROGARIA E FARMACIA PINHEIRO LTDA,"R TENENTE SILVEIRA, 161",FLORIANOPOLIS,SC
352,DISTRIBUIDORA BIG BENN LTDA,"AV FOLHA 26 QUADRA 03, S/N",MARABA,PA
353,DROGARIA SAO MARTINHO LTDA - ME,"Av Getulio Vargas, 750/1",SAO MARTINHO,RS
354,DROGARIA MAIS ECONOMICA LTDA,"RUA PORTAO, 109",ESTANCIA VELHA,RS
355,MARIA INES BIANCHI - EPP,"AVENIDA BRASIL, 391 - SALA 02",SAO JOSE,SC
356,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA PRESIDENTE VARGAS, 1845 - LOJA 01",ESTEIO,RS
357,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA IRIRIU, 1902",JOINVILLE,SC
358,DROGARIA LUCCA LTDA,RUA BARÃO DO RIO BRANCO 217,MUCUM,RS
359,SERGIO PAULO DIAS-ME,"AV PRESIDENTE VARGAS, Nº 294",MARUMBI,PR
360,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV DA AZENHA, 905",PORTO ALEGRE,RS
361,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"AVENIDA FRANCISCO GLICERIO, 1390",CAMPINAS,SP
362,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA MANAUS, 2420 - SALA 01",CASCAVEL,PR
363,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV CORONEL MARCOS DE ANDRADE, 141",VIAMAO,RS
364,FARMACIA VALE VERDE LTDA,"RUA SENADOR SOUZA NAVES, 464",LONDRINA,PR
365,BORGES & DIAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,"AVENIDA COMENDADOR ALEXANDRINO GARCIA, 1572 (Loja 10)",UBERLANDIA,MG
366,ALDACIR AFONSO VECHIETTI,"AVENIDA FARROUPILHA, Nº 1638",SAO FRANCISCO DE ASSIS,RS
367,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA BORGES DE MEDEIROS, 557, LOJA 01",BOM JESUS,RS
368,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA 1 DE MARÇO N° 1111  LOJA 03,NOVO HAMBURGO,RS
369,TRAJANO E CIA LTDA,RUA PROFESSOR BECKER,CAMPO LARGO,PR
370,ROSELI DE PRIOLI ROQUE & CIA LTDA,"PCA PRACA XV DE NOVEMBRO, 82",JOAQUIM TAVORA,PR
371,COMERCIO DE MEDICAMENTOS BRAIR LTDA,avenida OSVALDO ARANHA 790 LOJA 01,VERANOPOLIS,RS
372,"STAUDT, BOETCHER & CIA. LTDA. ME","PRESIDENTE LUCENA, 3333, SALA 01",IVOTI,RS
373,ASSOCIACAO DR BARTHOLOMEU TACCHINI,"R FORTALEZA, 353",BENTO GONCALVES,RS
374,DISTRIBUIDORA BIG BENN LTDA,"BR 316 , 100, KM 01",BELEM,PA
375,SINDICATO DOS TRABALHADORES RURAIS DE F DO SOTURNO,"RUA SETE DE SETEMBRO, 609",FAXINAL DO SOTURNO,RS
376,DROGARIA EMOFARMA LTDA - ME,"RUA AMERICA DO SUL, 631",MAUA,SP
377,FARMÁCIA MILANO LTDA-EPP,RUA OLAVO BILAC 103,SEARA,SC
378,DROGARIA MAIS ECONOMICA S.A.,RUA DR LAGENDRE 209,PAROBE,RS
379,DROGARIA MAIS ECONOMICA S.A.,av AZENHA 823,PORTO ALEGRE,RS
380,FARMACIA NICE LTDA,"AVENIDA REPUBLICA ARGENTINA, 4838",CURITIBA,PR
381,MARCELO DIALAMAN ME,"RUA MARECHAL DEODORO, 1538",TAQUARITINGA,SP
382,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"AV JOAO PESSOA, 1831",PORTO ALEGRE,RS
383,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA EMANCIPACAO, 1025",TRAMANDAI,RS
384,DROGARIA CORACAO DE JESUS LTDA - ME,rua PEDRO GALINDO GARCIA 505,SARANDI,PR
385,FARMACIA E DROGARIA NISSEI LTDA,"AV. REPUBLICA ARGENTINA, 4086",CURITIBA,PR
386,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA SETE DE SETEMBRO Nº 1108,CACHOEIRA DO SUL,RS
387,FARMACIA JAGUAFARMA LTDA.,"AV. MINAS GERAIS, 74",JAGUAPITA,PR
388,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AV BRASIL OESTE, 3592, LOJA 02",PASSO FUNDO,RS
389,SUELMA PEREIRA GOMES & CIA LTDA - ME,"AVENIDA VALE DO SOL SN QUADRA 51 LT 03/04, SN - ESQUINA COM A RUA 26",ALEXANIA,GO
390,DERDI DA SILVA & CIA LTDA,"AVENIDA BRASILIA, Nº 1229, SALA 12",MEDIANEIRA,PR
391,LINCK SANGALLI & CIA LTDA - EPP,"AVENIDA BRASIL, 621 - SALA 01",PALMITOS,SC
392,V E MARTONI & CIA LTDA ME,"RUA PARANA, 753",JACAREZINHO,PR
393,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA CRISTOVAO COLOMBO, 2060 - LOJA 01",PORTO ALEGRE,RS
394,DROGARIA MAIS ECONOMICA LTDA,"QUINZE DE JANEIRO, 129",CANOAS,RS
395,FARMACIA VALE VERDE LTDA,"AVENIDA ARAPONGAS, Nº 1305",ARAPONGAS,PR
396,FARMACIA E DROGARIA UNIFAR LTDA ME,"R. PROFESSOR SIMO HESS, 495",LUIZ ALVES,SC
397,FARMACIA E DROGARIA NISSEI LTDA,"MARECHAL DEODORO, 485",CURITIBA,PR
398,FARMACIA VALE VERDE LTDA,"AVENIDA CURITIBA, 1638",APUCARANA,PR
399,DROGARIA MAIS ECONOMICA S.A.,AVENIDA FERREIRA VIANA 1.235 LOJA 03,PELOTAS,RS
400,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. EMANCIPAÇÃO 898 LJ 03 E 04,TRAMANDAI,RS
401,ELZA ZANELLA ME,"R. SETE DE SETEMBRO, S/N, SALA",AGUAS FRIAS,SC
402,FARMÁCIA VALE VERDE LTDA,AVENIDA SANTOS DUMONT Nº 1470,LONDRINA,PR
403,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"ROD. RS 239, Nº 2755",NOVO HAMBURGO,RS
404,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA ANTONIO KAESEMODEL, 1173 - LOJA COLONIAL",SAO BENTO DO SUL,SC
405,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA SALDANHA MARINHO, 511 - LOJA 02",BENTO GONCALVES,RS
406,DROGARIA E FARMACIA CATARINENSE S A,RUA XV DE NOVEMBRO Nº550,BLUMENAU,SC
407,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"R BENTO GONCALVES, 2917, LOJA 1 LOJA 2",NOVO HAMBURGO,RS
408,FARMACIA E DROGARIA NATIVA LTDA,"SENADOR ATILIO F. X. FONTANA, Nº 2431-E",CHAPECO,SC
409,DISTRIBUIDORA BIG BENN S.A,AVENIDA GETULIO VARGAS 565,BACABAL,MA
410,PELOI REDE UNIMAIS FARMACIA LTDA,"AVENIDA REPUBLICA ARGENTINA, 4020",FOZ DO IGUACU,PR
411,FARMACIA SOL DA TERRA LTDA,"RUA SETE DE SETEMBRO, 348",FAXINAL DOS GUEDES,SC
412,PAULO R F RAMOS - ME,RUA FRANCISCO J LOPES 101,SANTO ANTONIO DA PATRULHA,RS
413,DROGARIA MEURER & MEURER LTDA ME,"Rua LUIZ FRANZOI, 278 - SALA 4",GASPAR,SC
414,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV FRANCISCO MIRANDA 944 LOJA: 01;,SAO BORJA,RS
415,LATSCH & BOCHI LTDA,RUA GETULIO VARGAS 1935,SANTIAGO,RS
416,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. CRISTOVÃO COLOMBO N° 2110,PORTO ALEGRE,RS
417,FARMACIA SECCHI LTDA,"R CELESTINO DO NASCIMENTO, 436",XANXERE,SC
418,FARMACIA E DROGARIA NISSEI LTDA,"RUA DOM PEDRO II, 563",PONTA GROSSA,PR
419,J N THOME & CIA LTDA EPP,"BRASIL, Nº 333 SALA 01 EDF DELTA",BALNEARIO CAMBORIU,SC
420,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA MONSENHOR GERCINO, 3664",JOINVILLE,SC
421,MARQUES DE ALVARENGA & GUERINO LTDA ME,"R. CORNELIO PROCOPIO, 514",ROSARIO DO IVAI,PR
422,FARMACIA E DROGARIA NISSEI LTDA,PRESIDENTE AFFONSO CAMARGO,CURITIBA,PR
423,FARMACIA FARMAUTIL LTDA,"AVENIDA BRASIL, Nº 6605",CASCAVEL,PR
424,SINDICATO DOS TRABALHADORES RURAIS DE NOVA PALMA,"RUA RAIMUNDO ALESSIO, 714, SALA",NOVA PALMA,RS
425,FARMACIA VENANCIO AIRES LTDA,"RUA JACOB BECKER, Nº 1377",VENANCIO AIRES,RS
426,ANELI B DAL MORO-ME,"RUA ANTONIO LUCHESE, 377",SANANDUVA,RS
427,TRAJANO COMERCIO DE MEDICAMENTOS LTDA ME,"AVENIDA PAPA JOAO XXIII, 1175 (SALA 01)",SOMBRIO,SC
428,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA JULIO DE CASTILHOS N° 102,CACHOEIRA DO SUL,RS
429,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,av ASSIS BRASIL 2611 sala 102,PORTO ALEGRE,RS
430,DROGARIA GUAJUVIRA LTDA,"GUILHERME SCHELL, Nº 6750 LOJA 60/61",CANOAS,RS
431,GARDENIA ALVES MATOS,"RUA LEOVEGILDO C VIANA, 17",LAPAO,BA
432,FARMACIA ELDORADO LTDA ME,"RUA FACHINAL DOS GUEDES, 215 - E",CHAPECO,SC
433,FARMÁCIAS E DROGARIAS NISSEI LTDA,RUA IVAI Nº36,PONTAL DO PARANA,PR
434,SCHWINDEN E COSTA LTDA,"PCA CAETANO VIEIRA DE SOUZA, 459, SALA 01",URUBICI,SC
435,FARMACIA TURMINA LTDA - ME,"AVENIDA TUPINAMBA, 1570",JUPIA,SC
436,FARMACIA E DROGARIA NISSEI LTDA,RUA VISCONDE DE GUARAPUAVA 2.113,CASCAVEL,PR
437,COOPERATIVA DE PRODUCAO E ABASTECIMENTO DO VALE DO ITAJAI,"RUA MARECHAL FLORIANO PEIXOTO, 834 - TERREO",INDAIAL,SC
438,DROGARIA PONTE PRETA LTDA - ME,"RUA FIDELIO BERTO, 240",PONTE PRETA,RS
439,FARMACIA BRASILIA LTDA,"AVENIDA BRASIL, 5288",MARINGA,PR
440,FARMACIA E PERFUMARIA CONSERVA LTDA - ME,AVENIDA MANOEL RIBAS 671,SAPOPEMA,PR
441,DROGARIA E FARMACIA COPACABANA LTDA EPP,"MARECHAL FLORIANO, Nº 1022",LAGES,SC
442,DROGARIA SCHAEFER LTDA - ME,"AV JACUI, 386",SELBACH,RS
443,FARMACIA E DROGARIA NISSEI LTDA,RUA ITALINO PERUFFO 189,CURITIBA,PR
444,DISTRIBUIDORA BIG BENN LTDA,"DOMINGOS MARREIROS, 2049",BELEM,PA
445,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,"RUA GOMES JARDIM, Nº 253 BLOCO B",PORTO ALEGRE,RS
446,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA OLAVO MORAES, 970 - LOJA 101",CAMAQUA,RS
447,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA DOS IMIGRANTES, 2114 - SALAS 01 E 02",CRICIUMA,SC
448,LUCI DE SOUZA CARDOSO & FILHOS LTDA EPP,"AV MARECHAL FLORIANO PEIXOTO, 1012",OSORIO,RS
449,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA MARECHAL RONDON, 2123",CAMPO GRANDE,MS
450,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"rod RSC 453, KM 3,5 2780 loja 159",CAXIAS DO SUL,RS
451,VALMIFARMA COMERCIO DE MEDICAMENTOS LTDA ME,"RUA LUIZ FRANCA 1532, 8",CURITIBA,PR
452,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA SANTA CATARINA, 1642",JOINVILLE,SC
453,FARMACIA ANA TERRA LTDA,"RUA PIMENTA DE PADUA, Nº1364",SAO SEBASTIAO DO PARAISO,MG
454,RITA GOTIM DA SILVA & CIA LTDA- ME,"AV IGUACU, 858",NOVA PRATA DO IGUACU,PR
455,DROGARIA MAIS ECONOMICA LTDA,"avenida alberto bins, 600",PORTO ALEGRE,RS
456,W. A. BARROS & CIA. LTDA ME.,"AV DR CICERO DE MORAES, 623",SAO PEDRO DO IVAI,PR
457,ASSOCIACAO DR BARTHOLOMEU TACCHINI,"R JOSE MARIO MONACO, 358",BENTO GONCALVES,RS
458,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA ALFERES RODRIGUES,CARAZINHO,RS
459,OMAR TADEU A CARDOSO ME,"AV GETULIO VARGAS, 1556, CASA",CAMBARA DO SUL,RS
